2, Zoom, 1.00000, Cube_5
4, Zoom, 1.00750, Cube_5
6, Zoom, 1.01500, Cube_5
8, Zoom, 1.02250, Cube_5
10, Zoom, 1.03000, Cube_5
12, Zoom, 1.03750, Cube_5
14, Zoom, 1.04500, Cube_5
16, Zoom, 1.05250, Cube_5
18, Zoom, 1.06000, Cube_5
42, Tilt, 0.00000, Cube_5
44, Tilt, 0.11500, Cube_5
46, Tilt, 0.22900, Cube_5
48, Tilt, 0.34400, Cube_5
50, Tilt, 0.45800, Cube_5
52, Tilt, 0.57300, Cube_5
54, Tilt, 0.68800, Cube_5
82, Pan, 0.00000, Cube_5
84, Pan, 0.45800, Cube_5
86, Pan, 1.03100, Cube_5
88, Pan, 1.49000, Cube_5
90, Pan, 1.94800, Cube_5
92, Pan, 2.97900, Cube_5
94, Pan, 4.01100, Cube_5
122, Roll, 0.00000, Cube_5
124, Roll, 0.45800, Cube_5
126, Roll, 1.03100, Cube_5
128, Roll, 1.49000, Cube_5
130, Roll, 1.94800, Cube_5
132, Roll, 2.97900, Cube_5
134, Roll, 4.01100, Cube_5
136, Roll, 5.04200, Cube_5
