subject_date,classes,band,ival,threshold,used patterns,clab,message
VPcm_05_10_11,left right ,[9 14],[680 3620],70,1  2  3  4/4,"not E* Fp* AF* I* ",Outside classification: 8.5 +/- 0.2 Inside Classification: 11.1 +/- 0.8 
VPcn_05_10_11,left foot ,[18 30],[700 3500],70,1  2  3/4,"not E* Fp* AF* I* ",Outside classification: 15.5 +/- 0.6 Inside Classification: 22.5 +/- 1.4 
VPco_05_10_28,left foot ,[10 15],[900 2750],Inf,1  2  3  4/4,"not E* Fp* AF* I* F5,6 ",Outside classification: 7.2 +/- 0.5 Inside Classification: 12.9 +/- 1.7 
VPcp_05_10_28,left foot ,[9 24],[840 3390],80,1  2  3  4/4,"not E* Fp* AF* I* F5,6 ",Outside classification: 5.2 +/- 0.0 Inside Classification: 6.2 +/- 0.4 
VPcq,,,,,,
VPcr_05_11_04,left right ,[10 14],[800 2200],50,1  2/2,"FC3-4 C5-6 CP3-4 ",Outside classification: 14.9 +/- 0.3 Inside Classification: 16.7 +/- 1.3 
Michael_05_11_10,left right ,[9 13],[1000 3890],80,1  2  3  4/4,"not E* Fp* AF* I* T7,8 ",Outside classification: 2.0 +/- 0.4 Inside Classification: 3.3 +/- 0.3 
Friederike_05_11_10,left right ,[10 24],[780 3720],100,1  2  3  4/4,"not E* Fp* AF* I* ",Outside classification: 9.1 +/- 0.8 Inside Classification: 15.3 +/- 1.0 
Guido_05_11_15,left foot ,[10 16],[1210 4170],100,1  2  3  4/4,"not E* Fp* AF* I* ",Outside classification: 0.0 +/- 0.0 Inside Classification: 0.0 +/- 0.0 
John_05_11_15,left foot ,[9 14],[1000 4000],120,4  5  6/6,"not E* Fp* AF* I* T7,8 ",Outside classification: 2.5 +/- 0.2 Inside Classification: 3.2 +/- 0.8 
VPcs_05_11_16,left right ,[9 15],[840 4360],70,1  2  3  4/4,"not E* Fp* AF* I* T7,8 TP7,8 ",Outside classification: 1.9 +/- 0.0 Inside Classification: 3.7 +/- 0.7 
Gilles_05_11_16,left foot ,[9 23],[800 3100],100,1  3  4/6,"not E* Fp* AF* I* T7,8 O1 C5 Oz ",Outside classification: 17.4 +/- 0.8 Inside Classification: 17.7 +/- 1.3 
VPct_05_11_18,left right ,[10 25],[900 3000],90,1  2  3  4/4,"not E* Fp* AF* I* T7 T8 ",Outside classification: 9.3 +/- 0.2 Inside Classification: 11.0 +/- 0.6 
Maki_05_11_18,left right ,[8 22],[780 3550],80,1  2  3  4  5  6/6,"not E* Fp* AF* I* ",Outside classification: 4.5 +/- 0.3 Inside Classification: 6.0 +/- 0.7 
Friederike_06_02_07,left right ,[10 14],[700 3750],90,1  2  3  4/4,"not E* Fp* AF* I* PO* ",CSP global: 7.3 +/- 3.8 CSP inside: 8.9 +/- 5.4
VPcm_06_02_07,left right ,[10.5 13.5],[800 2300],100,1  2  3  4/4,"not E* Fp* AF* I* ",CSP global: 5.2 +/- 3.8 CSP inside: 5.9 +/- 3.8
VPcu_06_02_14,left foot ,[9 13],[1500 4000],100,1  2  3  4/4,"not E* Fp* AF* I* PO4 PO* O* ",CSP global: 14.4 +/- 7.0 CSP inside: 17.4 +/- 7.6
Friederike_06_02_21,left right ,[9 25],[900 2500],120,1  2  3  4/4,"not E* Fp* AF* I* ",CSP global: 13.8 +/- 4.8 CSP inside: 15.3 +/- 6.4
VPcm_06_02_21,left right ,[11 14],[600 3650],110,1  2  3  4/4,"not E* Fp* AF* I* ",CSP global: 2.2 +/- 2.1 CSP inside: 5.5 +/- 6.6
Friederike_06_06_06,left right ,[9 14],[1270 4140],100,1  2  3  4/4,"not E* Fp* AF* I* ",CSP global: 5.8 +/- 7.2 CSP inside: 5.4 +/- 7.2
VPcm_06_06_06,left right ,[10 18],[600 3500],100,1  2  3  4/4,"not E* Fp* AF* I* P4 P6 ",CSP global: 8.2 +/- 5.8 CSP inside: 10.4 +/- 6.6
Friederike_06_06_13,left right ,[10 24],[650 3800],100,1  2  3  4/4,"not E* Fp* AF* I* ",CSP global: 5.2 +/- 3.8 CSP inside: 6.3 +/- 4.6
VPcm_06_06_13,left right ,[10 14],[900 3900],100,1  2  3  4/4,"not E* Fp* AF* I* P7 TP8 ",CSP global: 5.8 +/- 3.9 CSP inside: 10.1 +/- 8.1
VPea_06_06_26,foot right ,[11 14],[1000 3300],85,1  2  3/4,"not E* Fp* AF* I* F7,8 FP7,8 TP7,8 P7,8 ",CSP global: 5.5 +/- 3.6 CSP inside: 7.9 +/- 6.4 CSP setPat: 8.4 +/- 4.9
VPeb_06_06_26,left foot ,[9 14],[840 2100],100,1  4  5  6/6,"not E* Fp* AF* I* ",CSP global: 11.0 +/- 6.4 CSP inside: 22.5 +/- 9.9 CSP setPat: 18.7 +/- 6.7
