00_09_05, Gabriel, selfpaced, 2s
00_10_04, Gabriel, selfpacedmulti, 
00_11_03, Gabriel, arte, 
00_11_03, Gabriel, dzwei, 
01_05_10, Stefan, arte, 
01_05_10, Stefan, dzwei, 
01_05_10, Stefan, selfpaced, 2s
01_05_15, Thorsten, arte, 
01_05_15, Thorsten, dzwei, 
01_05_15, Thorsten, dzweitrance, 
01_05_15, Thorsten, selfpaced, 2s
01_05_23, Seppel, arte, 
01_05_23, Seppel, dzwei, 
01_05_23, Seppel, selfpaced, 2s
01_05_31, Ben, arte, 
01_05_31, Ben, dzwei, 
01_05_31, Ben, selfpaced, 2s
01_06_07, Motoaki, arte, 
01_06_07, Motoaki, dzwei, 
01_06_07, Motoaki, selfpaced, 2s
01_06_13, Steven, arte, 
01_06_13, Steven, dzwei, 
01_06_13, Steven, selfpaced, 2s
01_07_19, Frank, arte, 
01_07_19, Frank, dzwei, 
01_07_19, Frank, selfpaced, 2s
01_07_24, Gabriel, arte, 
01_07_24, Gabriel, selfpaced, 0_3s
01_07_24, Gabriel, selfpaced, 0_5s
01_07_24, Gabriel, selfpaced, 1s
01_07_24, Gabriel, typewriting, 
01_10_15, Gabriel, arte, 
01_10_15, Gabriel, imag, 
01_10_15, Gabriel, real, 
01_10_18, Stefan, arte, 
01_10_18, Stefan, selfpaced, 0_5s
01_10_18, Stefan, selfpaced, 1s
01_10_18, Stefan, selfpaced, 2s
01_10_19, Seppel, arte, 
01_10_19, Seppel, selfpaced, 0_5s
01_10_19, Seppel, selfpaced, 1s
01_10_19, Seppel, selfpaced, 2s
01_11_20, Steven, arte, 
01_11_20, Steven, selfpaced, 2s
01_11_20, Steven, selfpaced, 5s
01_11_23, Pavel, arte, 
01_11_23, Pavel, medianus, _left
01_11_23, Pavel, medianus_right, 
01_11_23, Pavel, selfpaced, 0_5s
01_11_23, Pavel, selfpaced, 1s
01_11_23, Pavel, selfpaced, 2s
01_12_12, Gabriel, arte, 
01_12_12, Gabriel, medianus, _left
01_12_12, Gabriel, medianus_right, 
