,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy
0,1.385777108,1.396656156,24.56896552,25,1.411497881,1.414420909,25.21551724,25,1.401620351,1.393631299,25.21551724,28.29861111,1.384121837,1.390989714,24.78448276,25.17361111,1.393784301,1.403535273,24.56896552,25,1.405934465,1.398142536,26.07758621,27.60416667,1.386767186,1.395348125,27.15517241,28.29861111,1.387052918,1.392017126,26.93965517,25,1.397037613,1.388298882,28.01724138,25.52083333
1,1.357021204,1.34865929,30.60344828,35.06944444,1.311571516,1.409587847,33.40517241,25.69444444,1.329845235,1.318214297,33.8362069,36.97916667,1.329986885,1.402782056,37.06896552,28.64583333,1.301206301,1.403524412,40.0862069,26.5625,1.31492884,1.374361634,38.57758621,28.47222222,1.345051609,1.376614743,34.05172414,26.38888889,1.314008454,1.274408023,35.34482759,38.02083333,1.344140439,1.314139459,33.8362069,35.24305556
2,1.329796631,1.300791966,34.26724138,38.19444444,1.259697778,1.365982877,42.45689655,31.59722222,1.304303317,1.27912826,39.65517241,47.39583333,1.242304157,1.328076283,45.25862069,33.15972222,1.314080682,1.382035388,33.62068966,26.5625,1.280826306,1.376432101,40.73275862,31.94444444,1.302811758,1.337909857,36.85344828,35.41666667,1.264533339,1.218175517,42.67241379,47.91666667,1.320997974,1.283244994,38.14655172,41.31944444
3,1.306350696,1.289471679,38.14655172,40.97222222,1.23416245,1.368164817,43.10344828,29.86111111,1.342154129,1.324294143,31.89655172,32.8125,1.221542169,1.316397323,43.75,37.32638889,1.303776264,1.619410276,34.9137931,25,1.2446563,1.367892504,43.53448276,33.33333333,1.272706985,1.320881036,39.22413793,34.54861111,1.222016487,1.114977558,42.45689655,55.72916667,1.311644632,1.276544187,39.43965517,36.97916667
4,1.351779691,1.337457498,35.56034483,39.75694444,1.199366902,1.366009262,48.49137931,29.51388889,1.283261311,1.21652166,38.14655172,45.13888889,1.193480245,1.394989663,48.27586207,34.89583333,1.184361725,1.506920391,46.12068966,25.17361111,1.244881507,1.393830657,40.51724138,28.81944444,1.257839289,1.324898971,41.81034483,35.59027778,1.523316811,1.340911494,36.85344828,40.10416667,1.287363694,1.244027813,41.81034483,38.88888889
5,1.255410671,1.218590617,43.10344828,50.34722222,1.164406326,1.351752069,50,36.11111111,1.231368706,1.177634292,42.88793103,49.47916667,1.150050319,1.287667606,48.92241379,38.71527778,1.224327342,1.613973697,42.88793103,29.16666667,1.222025596,1.384144823,45.90517241,32.8125,1.276067405,1.418347849,40.30172414,28.64583333,1.237247114,1.10686387,38.79310345,50.69444444,1.259259306,1.168059442,41.59482759,47.39583333
6,1.246424572,1.200442539,44.39655172,50.69444444,1.189940448,1.479149183,42.24137931,25.52083333,1.211738155,1.117253092,44.61206897,54.6875,1.115702066,1.303548839,50,36.11111111,1.153603367,1.373247743,51.07758621,28.99305556,1.149599365,1.334133916,48.49137931,37.5,1.150410307,1.327700244,49.56896552,32.11805556,1.164822328,1.08104282,48.06034483,51.73611111,1.211322632,1.166401532,47.19827586,47.74305556
7,1.235153061,1.203132788,44.18103448,46.00694444,1.153474771,1.359502527,46.76724138,30.03472222,1.331585563,1.177051571,33.18965517,44.61805556,1.121524665,1.327726417,48.06034483,33.15972222,1.290967156,1.889252252,38.14655172,25,1.092596681,1.305151648,56.46551724,39.40972222,1.146049017,1.278777003,51.29310345,42.1875,1.140092813,1.045722597,52.80172414,55.03472222,1.172395862,1.113416897,51.50862069,52.08333333
8,1.300874213,1.292249931,39.22413793,38.02083333,1.113402765,1.333275106,52.15517241,37.5,1.166137761,1.069448974,49.13793103,60.24305556,1.081173517,1.290394134,52.5862069,40.79861111,1.212312351,1.587984284,45.04310345,25.69444444,1.125410621,1.237492455,45.90517241,45.83333333,1.119827984,1.303204815,52.5862069,33.50694444,1.128854252,1.03766903,52.5862069,59.20138889,1.435145612,1.275364108,39.65517241,50.52083333
9,1.209178144,1.198792921,44.82758621,50,1.180200811,1.515910043,43.96551724,25.17361111,1.142792437,1.093601677,54.74137931,53.81944444,1.06697858,1.398412493,53.6637931,31.42361111,1.097053232,1.499370999,53.6637931,24.82638889,1.044694043,1.298460669,58.8362069,37.32638889,1.135697805,1.279543334,48.49137931,38.71527778,1.132370513,1.067222549,48.49137931,52.43055556,1.174669654,1.135836535,47.84482759,49.13194444
10,1.163858229,1.093327483,50.86206897,58.50694444,1.137914481,1.372681525,46.98275862,34.20138889,1.213690606,1.11904939,46.3362069,54.16666667,1.048020172,1.349488537,54.95689655,33.50694444,1.057970968,1.397579114,57.97413793,30.55555556,1.039162461,1.233124336,55.81896552,44.61805556,1.120705656,1.264481068,49.78448276,41.49305556,1.115398621,1.021205664,53.23275862,57.63888889,1.131980633,1.034596913,52.37068966,55.03472222
11,1.162927272,1.088733421,50.43103448,54.6875,1.141986368,1.394693481,47.84482759,30.55555556,1.192261225,1.160899719,46.55172414,57.8125,1.005904818,1.262223177,57.54310345,40.10416667,1.026138106,1.454222547,62.06896552,27.08333333,1.016582041,1.320422716,59.05172414,38.02083333,1.101846759,1.253769371,52.5862069,42.36111111,1.106870117,1.034077393,50.86206897,58.15972222,1.07995179,1.011942903,58.40517241,56.59722222
12,1.216512456,1.236512105,42.02586207,35.59027778,1.047077516,1.305277824,57.32758621,38.54166667,1.096102686,1.008129617,53.44827586,56.07638889,1.081947898,1.373527832,51.93965517,34.54861111,1.174722373,1.941565169,45.04310345,25,1.003070527,1.300322599,58.18965517,40.45138889,1.062723813,1.287176344,54.31034483,38.88888889,1.20605061,0.964586106,42.88793103,63.88888889,1.239167583,1.10385002,42.67241379,51.90972222
13,1.166162376,1.142242617,50.43103448,50.17361111,1.041141317,1.310825374,56.25,36.28472222,1.123921707,1.004882455,49.78448276,60.76388889,1.022835956,1.291616625,55.60344828,33.50694444,1.018304954,1.476394468,59.48275862,30.20833333,1.017933568,1.257822355,54.74137931,40.45138889,1.064369247,1.245190263,55.17241379,43.57638889,1.091928757,1.075778842,54.52586207,52.08333333,1.076343142,1.054252234,55.38793103,56.59722222
14,1.099270878,1.040321171,53.44827586,58.50694444,1.026585686,1.318990919,55.60344828,37.84722222,1.07536884,1.007641508,55.81896552,54.51388889,0.988920023,1.227454331,60.34482759,45.3125,0.988136429,1.513892836,59.9137931,30.20833333,1.007594234,1.253890594,55.60344828,40.45138889,1.041147396,1.228788098,56.89655172,44.79166667,1.054211444,0.995707115,59.69827586,58.15972222,1.047075309,1.077945358,57.32758621,56.07638889
15,1.093216117,1.095784088,53.23275862,54.34027778,1.012862555,1.290361312,60.12931034,42.88194444,1.11161358,1.017956456,51.50862069,55.72916667,0.989585749,1.29753828,57.54310345,34.89583333,1.028939983,1.456933763,56.89655172,25.52083333,0.980779533,1.217241274,60.56034483,45.13888889,1.055868922,1.233065473,57.54310345,43.22916667,1.068609476,1.008229845,56.03448276,57.63888889,1.074154753,1.049101591,56.89655172,55.03472222
16,1.084275398,1.033417755,55.38793103,62.32638889,0.999775157,1.267362436,60.99137931,42.88194444,1.08388287,0.96675092,55.60344828,64.0625,0.966293224,1.276585168,59.69827586,40.27777778,0.987153216,1.529107438,59.05172414,31.42361111,0.971570907,1.282405403,61.63793103,40.45138889,1.050378608,1.221768962,56.03448276,46.18055556,1.076389448,1.046029813,51.72413793,51.38888889,1.066668889,1.062821925,56.68103448,56.59722222
17,1.074906719,1.024147285,55.81896552,62.84722222,0.974863825,1.275512364,63.57758621,43.22916667,1.047524839,0.982425167,54.74137931,64.58333333,0.973181749,1.23243969,59.05172414,41.31944444,0.995161404,1.545903153,55.81896552,27.25694444,0.953937325,1.260903054,65.73275862,42.01388889,1.050052885,1.207964579,56.68103448,48.61111111,1.04380178,0.960973269,56.46551724,64.0625,1.036963968,1.062045554,57.54310345,54.6875
18,1.072020761,1.061965545,55.60344828,52.60416667,0.967161475,1.26008994,65.30172414,44.09722222,1.035865151,0.947932078,59.05172414,66.49305556,0.980879595,1.209354957,58.8362069,44.09722222,0.973449857,1.554624571,61.42241379,31.07638889,0.951202177,1.292673204,61.85344828,40.27777778,1.036345936,1.224576089,55.60344828,43.22916667,1.053766353,0.990321219,58.8362069,57.98611111,1.031992431,1.021096673,57.11206897,55.72916667
19,1.114428267,1.039872838,50,55.72916667,0.99208333,1.367247833,59.26724138,30.03472222,1.035530832,0.954663038,58.62068966,63.19444444,0.968313223,1.221748074,59.69827586,47.04861111,0.981154721,1.452264508,60.34482759,27.08333333,0.985360807,1.251639605,58.40517241,44.09722222,1.035533985,1.182293773,55.81896552,51.04166667,1.038577014,0.974736492,56.89655172,60.24305556,1.067929029,1.03542816,55.17241379,56.07638889
20,1.053040646,1.020706667,57.54310345,60.76388889,0.966688637,1.251953337,63.36206897,44.09722222,1.084688746,1.057077812,52.15517241,53.81944444,0.967627698,1.213403172,58.62068966,48.26388889,0.954215405,1.47722635,64.43965517,30.55555556,0.943776221,1.266320931,60.77586207,41.49305556,1.010257707,1.19413907,60.12931034,47.56944444,1.045978612,1.023697111,56.46551724,55.03472222,1.019430847,1.01904132,60.56034483,54.16666667
21,1.037841359,0.996271908,59.05172414,63.36805556,0.947204018,1.270344761,63.79310345,41.66666667,1.011452702,0.96792135,61.85344828,58.85416667,0.96871508,1.24841947,59.69827586,35.76388889,0.970172286,1.502014703,64.43965517,27.25694444,1.006911444,1.266197681,53.44827586,43.75,1.014555845,1.196916064,59.48275862,47.56944444,1.018391231,0.949932032,62.93103448,62.15277778,1.007362758,1.033748945,59.9137931,56.42361111
22,1.040194076,1.017565913,60.34482759,64.0625,0.963062029,1.303342303,60.34482759,35.41666667,1.019031251,0.930609736,59.26724138,65.27777778,0.94249749,1.261183712,60.77586207,40.45138889,0.948619349,1.470832229,64.00862069,30.90277778,0.928807263,1.303928018,63.14655172,40.79861111,1.010232288,1.198674454,62.28448276,46.52777778,1.014187632,0.963606927,60.99137931,61.45833333,1.018913645,1.0821695,57.97413793,56.59722222
