,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy
0,1.368747456,1.353442139,34.9137931,36.45833333,1.380756107,1.380786591,30.38793103,29.34027778,1.356141222,1.366396189,35.99137931,30.90277778,1.345313923,1.365850727,35.99137931,30.72916667,1.349980079,1.384088861,34.05172414,28.99305556,1.357654855,1.380518768,32.54310345,27.25694444,1.352278134,1.38076014,37.28448276,28.81944444,1.36070827,1.360480335,33.40517241,35.76388889,1.364379044,1.352991078,33.8362069,34.02777778
1,1.349598412,1.334593442,37.28448276,39.58333333,1.349736029,1.369408117,35.12931034,31.59722222,1.331481749,1.342527178,40.30172414,38.71527778,1.318345296,1.345099065,42.45689655,32.8125,1.31713854,1.379139781,45.25862069,30.72916667,1.331533638,1.368383209,37.5,31.25,1.312927374,1.348422991,41.37931034,34.375,1.327164769,1.338303169,38.36206897,37.84722222,1.324411544,1.30621379,39.87068966,39.93055556
2,1.323898681,1.316051695,38.57758621,38.54166667,1.313883284,1.354768925,39.22413793,32.8125,1.306917647,1.317967812,42.67241379,41.49305556,1.280480603,1.322375324,45.25862069,38.02083333,1.295401569,1.380408141,44.39655172,33.85416667,1.307725265,1.348342644,38.79310345,34.54861111,1.253812182,1.308729556,42.88793103,36.97916667,1.300685759,1.30763695,40.94827586,40.10416667,1.290913426,1.271170206,39.00862069,40.79861111
3,1.292441615,1.274755332,42.67241379,42.01388889,1.257710991,1.337686062,43.53448276,33.68055556,1.272383082,1.295031004,45.47413793,44.09722222,1.24532746,1.296650436,48.49137931,37.84722222,1.252018752,1.39697855,47.4137931,29.6875,1.284992288,1.334676279,39.43965517,35.06944444,1.208024995,1.304529574,51.07758621,33.50694444,1.271400016,1.276073204,43.31896552,42.1875,1.25327033,1.234375079,41.59482759,45.65972222
4,1.286033051,1.256129715,40.73275862,41.84027778,1.225289139,1.335640947,48.27586207,35.9375,1.223960934,1.262555401,47.62931034,43.22916667,1.225124347,1.275270542,48.49137931,43.40277778,1.21305656,1.442325221,50.43103448,28.81944444,1.273155414,1.326272925,41.81034483,36.11111111,1.17691597,1.283550408,52.80172414,38.19444444,1.237992278,1.240687741,45.47413793,48.09027778,1.21729815,1.230627868,44.82758621,46.35416667
5,1.266471842,1.228928632,43.75,47.74305556,1.193293641,1.331338988,51.93965517,34.72222222,1.211575812,1.230950978,51.50862069,48.4375,1.189379034,1.263096584,51.29310345,41.66666667,1.164656146,1.442697114,51.29310345,28.81944444,1.237891847,1.309066269,43.96551724,35.59027778,1.138936655,1.276408209,54.09482759,39.40972222,1.211064111,1.2057442,50.43103448,48.09027778,1.194148068,1.201377842,46.76724138,49.30555556
6,1.245889972,1.203065342,43.53448276,48.26388889,1.161408893,1.32067883,54.31034483,35.06944444,1.159675257,1.200189352,56.46551724,50.17361111,1.160229617,1.257111179,50.86206897,42.53472222,1.142773275,1.416937378,53.44827586,30.03472222,1.210875569,1.299725162,47.84482759,37.84722222,1.117371243,1.25977744,58.18965517,40.625,1.174502895,1.181314574,50.64655172,51.38888889,1.178379552,1.172002183,51.29310345,51.5625
7,1.214937929,1.201737656,47.19827586,46.875,1.124975509,1.314448767,56.03448276,38.19444444,1.133672038,1.18222789,56.03448276,48.09027778,1.122540725,1.222176048,55.38793103,45.3125,1.100159187,1.454397652,57.97413793,30.03472222,1.18455232,1.293254508,49.78448276,38.02083333,1.085906832,1.249250094,57.11206897,40.625,1.136419457,1.130176597,56.03448276,56.42361111,1.144695076,1.160068115,53.44827586,49.47916667
8,1.192928803,1.155744076,47.4137931,50.52083333,1.105315671,1.324149291,58.18965517,35.76388889,1.122097683,1.147885601,57.11206897,53.29861111,1.090284619,1.2150965,55.60344828,47.39583333,1.084840466,1.499085228,57.32758621,31.59722222,1.155393058,1.271240632,55.17241379,40.10416667,1.069896688,1.256328636,59.48275862,39.93055556,1.108784809,1.077171763,56.68103448,59.72222222,1.15072458,1.153583513,51.07758621,48.09027778
9,1.158913374,1.120755884,51.72413793,55.03472222,1.081334942,1.297845231,57.11206897,38.02083333,1.08789885,1.126229684,60.56034483,54.34027778,1.075049931,1.242908306,55.81896552,45.83333333,1.042930663,1.500838108,60.56034483,31.25,1.131400223,1.263069616,55.17241379,40.27777778,1.085317299,1.253243844,54.95689655,39.0625,1.08621936,1.052737375,56.25,60.59027778,1.124591675,1.147351119,52.80172414,51.21527778
10,1.152628668,1.124903003,53.01724138,53.29861111,1.046468192,1.298747169,62.93103448,37.84722222,1.088829367,1.101286146,61.85344828,56.07638889,1.044366865,1.201414333,59.26724138,45.3125,1.028997804,1.465572755,62.93103448,33.50694444,1.107464055,1.234808299,57.75862069,43.05555556,1.032343085,1.224174592,61.63793103,41.66666667,1.073360608,1.018873526,57.75862069,62.67361111,1.122399597,1.101598918,53.44827586,54.34027778
11,1.122775727,1.123244312,54.52586207,53.99305556,1.020103853,1.281709737,63.14655172,40.27777778,1.066619961,1.071795768,61.42241379,56.77083333,1.027107681,1.185985804,60.77586207,48.78472222,1.001214073,1.500328978,65.51724138,33.15972222,1.086184555,1.234937496,57.75862069,42.01388889,1.031328547,1.208275278,60.34482759,44.27083333,1.047682939,0.981948336,58.18965517,64.58333333,1.09773916,1.078019672,56.46551724,57.98611111
12,1.124266008,1.086416728,53.44827586,56.94444444,1.008117063,1.283622781,63.79310345,39.23611111,1.055783103,1.056061241,61.63793103,59.20138889,1.00746105,1.18392347,62.06896552,48.26388889,0.995966663,1.469558173,62.28448276,33.50694444,1.083113157,1.239576154,58.40517241,40.79861111,1.012504763,1.205394559,64.65517241,45.83333333,1.034807183,0.963830935,59.9137931,64.93055556,1.08042355,1.028952817,56.25,56.59722222
13,1.132421041,1.091999074,53.44827586,56.42361111,0.985061339,1.264486445,66.1637931,42.70833333,1.047270341,1.024872323,60.56034483,59.375,1.000771516,1.165811963,62.71551724,50,0.979610055,1.439195262,63.79310345,34.72222222,1.08590043,1.257100026,59.05172414,42.01388889,0.98845656,1.184003565,62.5,46.18055556,1.033034563,0.978581773,58.62068966,63.54166667,1.075934373,1.020874123,57.32758621,57.8125
14,1.102143074,1.070095221,54.74137931,58.33333333,0.962720914,1.249815888,66.59482759,44.96527778,1.030376362,1.000809676,65.30172414,63.36805556,0.980707134,1.173869676,63.79310345,48.26388889,0.964182798,1.469685647,66.81034483,36.63194444,1.070624586,1.21236678,59.26724138,44.61805556,1.000244284,1.182915476,62.5,48.26388889,1.008003025,0.940242615,62.5,67.70833333,1.066740661,1.028974712,59.69827586,56.94444444
15,1.077388763,1.039404359,58.62068966,59.20138889,0.971461925,1.246411482,65.51724138,44.09722222,1.013922903,0.973427792,64.87068966,65.10416667,0.970755914,1.175947335,63.14655172,48.61111111,0.96440737,1.419985069,64.65517241,38.71527778,1.060116213,1.21655941,57.75862069,46.35416667,0.977604998,1.163276023,64.65517241,47.56944444,0.999374949,0.931559384,61.85344828,65.79861111,1.069202442,1.020493627,58.18965517,58.15972222
16,1.064855724,1.043276429,57.97413793,58.33333333,0.955244582,1.237791485,65.30172414,42.36111111,1.006926976,0.968496276,62.28448276,64.93055556,0.969038355,1.16928947,67.45689655,49.13194444,0.964641053,1.407792581,65.0862069,38.88888889,1.04716096,1.215699898,59.05172414,46.70138889,0.966088959,1.128713012,64.87068966,50.69444444,0.997032155,0.91705107,63.57758621,68.05555556,1.056841075,1.030739731,58.18965517,57.8125
17,1.056146433,1.002817836,58.40517241,61.45833333,0.942762617,1.225413958,65.73275862,46.52777778,0.999565877,0.950834566,64.65517241,66.49305556,0.950567907,1.137803621,66.37931034,53.99305556,0.956876315,1.408985323,63.57758621,40.625,1.038026072,1.204972453,62.28448276,45.48611111,0.964080451,1.138455537,64.87068966,50.69444444,0.988190014,0.92349322,62.28448276,67.88194444,1.035230036,1.010266814,57.97413793,57.46527778
18,1.047422569,1.007124205,59.9137931,60.24305556,0.929981382,1.218846692,65.51724138,44.61805556,0.988597105,0.940961321,64.00862069,64.75694444,0.933904619,1.147348073,67.88793103,50.34722222,0.944636937,1.404636171,66.81034483,38.36805556,1.027691932,1.20692367,60.34482759,44.27083333,0.946154185,1.11155551,65.0862069,55.55555556,0.978672073,0.934082647,64.65517241,67.01388889,1.038042093,1.010502776,60.12931034,59.375
19,1.040667106,0.987252408,60.34482759,61.45833333,0.923998888,1.222956922,66.81034483,44.96527778,0.994494074,0.939501597,63.79310345,66.14583333,0.938901198,1.128161033,65.73275862,53.64583333,0.933086847,1.38736097,66.37931034,38.19444444,1.021790768,1.210000621,60.56034483,45.65972222,0.938934357,1.09544399,65.94827586,55.72916667,0.968962532,0.908908308,66.1637931,66.14583333,1.021315842,0.998730799,60.99137931,58.50694444
20,1.029988252,0.975349824,58.18965517,64.0625,0.904470033,1.20644082,67.67241379,48.26388889,0.975123241,0.925947362,64.43965517,66.14583333,0.924730883,1.138612813,65.30172414,50.34722222,0.937412332,1.396109462,65.0862069,38.88888889,1.011465064,1.230611801,64.00862069,44.27083333,0.942391498,1.093572815,65.94827586,54.6875,0.988400447,0.926417338,62.28448276,65.10416667,1.00981566,0.975700226,59.26724138,61.11111111
21,1.013422534,0.944203794,61.42241379,64.23611111,0.904857072,1.205761247,68.53448276,48.95833333,0.981043984,0.919124617,65.94827586,66.49305556,0.905368678,1.109535125,66.37931034,52.95138889,0.918941035,1.407476226,65.94827586,39.58333333,1.000028561,1.206971182,64.43965517,43.92361111,0.923807161,1.080023064,67.88793103,55.55555556,0.969089097,0.915539523,64.00862069,66.66666667,1.012120438,0.976260761,61.42241379,60.06944444
22,1.010009038,0.947974609,63.79310345,64.23611111,0.910250088,1.207661457,67.45689655,47.56944444,0.962425503,0.879054281,65.51724138,70.83333333,0.912753422,1.112501025,66.59482759,53.47222222,0.92294952,1.411331627,65.73275862,39.0625,0.995775457,1.215928634,62.28448276,44.96527778,0.929545964,1.088441001,67.24137931,56.94444444,0.961165831,0.916502926,66.1637931,66.14583333,1.000203225,0.978891949,60.99137931,58.68055556
23,0.99935627,0.924707651,62.06896552,66.31944444,0.89667699,1.201005737,67.02586207,48.95833333,0.959923539,0.911057903,65.94827586,66.84027778,0.905009097,1.108296613,67.88793103,52.43055556,0.907455395,1.371285333,66.81034483,40.10416667,0.993788468,1.251707435,64.43965517,43.57638889,0.924360834,1.063901338,65.73275862,56.94444444,0.964478094,0.90047225,64.65517241,66.14583333,0.994390564,0.98310866,62.06896552,59.72222222
24,0.998055195,0.925377799,63.36206897,66.14583333,0.883391582,1.200606108,69.18103448,48.26388889,0.959195643,0.908919063,67.02586207,67.36111111,0.898791708,1.100188944,68.96551724,55.20833333,0.915106319,1.408963694,66.59482759,40.97222222,0.98760023,1.21013342,64.65517241,47.39583333,0.921684399,1.053568979,68.53448276,57.29166667,0.963500656,0.894357867,63.14655172,68.05555556,0.998176735,0.985984299,61.63793103,59.02777778
25,0.991775266,0.909848577,63.14655172,66.66666667,0.886523273,1.193408635,70.04310345,50,0.947737061,0.892950992,66.1637931,67.70833333,0.8927635,1.103621463,67.67241379,53.47222222,0.919784756,1.38509798,64.43965517,42.53472222,0.975442241,1.236414022,64.00862069,44.79166667,0.915419909,1.06490361,67.88793103,58.68055556,0.962073396,0.890030755,63.57758621,67.36111111,0.980639501,0.975531744,62.71551724,58.85416667
26,0.985868076,0.905575097,63.79310345,65.10416667,0.894249598,1.192279246,67.45689655,49.65277778,0.951352722,0.900265892,68.10344828,67.70833333,0.882089241,1.098752022,71.3362069,54.6875,0.905275308,1.406775475,67.02586207,40.625,0.977126574,1.239666343,65.0862069,44.61805556,0.90397384,1.042758299,67.45689655,59.375,0.955862734,0.91162567,63.57758621,65.97222222,0.990706927,0.969223638,60.34482759,60.06944444
27,0.978729969,0.905505651,63.57758621,67.36111111,0.887469832,1.195559793,68.31896552,50.52083333,0.935473559,0.8920743,68.10344828,66.66666667,0.888317721,1.087925129,69.18103448,55.38194444,0.90165396,1.40879843,65.94827586,41.49305556,0.960978931,1.216474083,64.65517241,45.83333333,0.901516921,1.031305055,67.45689655,59.72222222,0.953422777,0.896972219,66.1637931,67.36111111,0.983706635,0.972239117,62.5,57.63888889
28,0.975020429,0.903934293,62.28448276,67.36111111,0.885570668,1.184923715,67.24137931,50,0.949539904,0.879395737,66.81034483,69.27083333,0.881513641,1.100853119,69.18103448,52.77777778,0.897488074,1.374105612,66.37931034,41.49305556,0.961874863,1.233858758,66.1637931,45.13888889,0.896087198,1.042570949,67.88793103,58.15972222,0.944697146,0.898348252,64.00862069,67.53472222,0.987975264,0.963939594,60.77586207,59.72222222
